balance,row
0.0,1
0.0,1
1.201367710932459,24
5.433727998163207,31
7.996608771452075,43
10.473621644243309,47
12.521099389050432,50
16.11516081900905,83
18.541688386351566,134
14.47716541065381,139
17.923541314112086,197
14.891501056770863,260
16.809594649576113,275
18.41505521816282,278
19.399063393416426,318
14.981280062420534,333
16.440201852319586,337
18.30342171226307,350
15.215036760724868,411
22.075351355014785,420
24.432231759982823,449
20.868184824111406,460
22.890799423471535,478
26.888654413393677,504
28.50540849757769,524
29.60922629943613,551
26.08522669422058,562
27.918309874109298,617
28.999440903493877,629
27.345320087754235,634
24.43349755398778,654
21.117596629963135,657
19.113352729894558,679
16.61708152155069,683
14.320154889296536,714
17.626054121501884,757
19.631415851686203,770
16.868731473516323,781
17.922094686094358,810
19.032575615211773,827
17.333924680987057,888
18.545031474782082,945
30.221297813059437,1001
35.248249591229296,1007
43.365407081626216,1028
37.05538734911143,1049
38.210655674793315,1101
34.182886715917626,1110
28.82152163213714,1118
29.66523340796278,1136
34.239465463211054,1148
35.69954225153044,1154
37.42656680899105,1159
38.93519633385474,1212
40.875026529498875,1231
41.77801562793522,1244
40.59586846267588,1298
41.850912577305536,1305
43.11350824644964,1320
49.26449081876807,1335
44.74184808392718,1350
40.90465963135411,1352
37.94702102886781,1354
36.434857978243215,1380
35.337071449993104,1385
33.57167555556494,1422
35.447138995783405,1448
31.385315193619576,1458
34.51569258324314,1474
31.845558759433914,1556
32.92390917474452,1562
28.50711892392242,1592
25.712616306121376,1610
31.707802652850276,1622
35.03034804625983,1630
38.24049911219237,1645
28.240499112192367,1656
32.33580995663462,1666
34.17938243717323,1673
35.684917492523766,1688
28.625761767548482,1692
43.825173640365975,1697
33.825173640365975,1712
38.586370775326,1718
40.614674225430406,1808
44.07739147810027,1840
45.264739733662836,1853
39.3435785923137,1864
34.07169530318904,1868
29.348672568638925,1884
32.63424929531745,1915
28.748711351706838,1938
29.864910550333047,1943
34.14024587075032,1950
27.397424991803774,1990
23.26493287823909,2022
24.29052970664554,2027
26.861683288386228,2043
27.817718358860116,2088
29.187184339586153,2116
25.213674405811336,2132
21.245702875562234,2138
24.29655033318935,2145
21.9851975119793,2156
24.127300393258515,2178
25.252941843349554,2201
22.737722362413972,2218
18.70429796903459,2234
20.04132436761207,2240
17.551107362987388,2282
14.768955132016266,2291
17.0256277808383,2298
19.992608160484174,2305
10.921504971733926,2319
13.14205595336786,2392
10.300483357026879,2426
7.7470504082846965,2444
3.8740694978588577,2465
6.204421236375242,2474
2.515068136644774,2490
-4.551555407986538,2506
-3.5601657472544845,2513
-5.72804642710187,2559
-10.5932666769375,2615
-8.30627741463098,2630
-13.913888774008239,2658
-21.797226920124345,2671
-20.33867124598703,2677
-23.30825115907247,2725
-21.19530157467102,2740
-19.886329663026615,2761
-25.781155786860364,2777
-23.644225661592042,2826
-25.714556001065326,2867
-24.668435168586665,2885
-20.603964250576862,2901
-19.09577376231603,2929
-17.840420047945926,2945
-15.84097968774141,2989
-14.212299781890223,3007
-24.212299781890223,3033
-20.969373811580354,3035
-17.898387311949126,3045
-21.90144976409832,3056
-18.981370007855492,3072
-17.58155453349562,3103
-20.76632704974446,3112
-19.758031795498667,3145
-24.093778554212264,3168
-20.47600368666062,3176
-16.551430298956404,3202
-19.263846383583797,3243
-17.969956574720246,3269
-14.661450450837837,3287
-19.40980931298228,3297
-21.6805452942907,3300
-20.265937247728704,3325
-19.300421709348843,3369
-18.26359409405234,3387
-16.306595305185173,3401
-11.350862202183666,3411
-16.482840086970544,3434
-11.551791194367116,3442
-8.762521957664891,3469
-7.4092273143491845,3478
-5.76765822262634,3540
-10.026210668201688,3574
-8.582390134544116,3589
-6.707390134544102,3641
-1.6579065951353478,3661
1.203383378768688,3666
-2.4191026885926057,3682
-1.380916835469126,3758
0.5895812670729976,3831
-2.1370992553081187,3834
1.7264475084496773,3860
25.535848401560358,3901
19.903291633645285,3918
11.831621681519128,3924
15.782707964796334,3953
10.360525629892454,3998
11.639089809743997,4012
7.2053535726319815,4017
1.9793301088531656,4089
-2.4493062669391,4092
-0.7192124215824371,4106
-4.318952879167011,4118
-6.771268955461277,4148
-1.7967700204482888,4162
-9.806090462821526,4183
-4.376186737147858,4195
-2.439323829937816,4214
-1.5023353321258064,4236
-0.14457116005977966,4264
0.7798952481539096,4293
-3.1728850520437213,4327
-0.09258534720758549,4340
-3.0712225266205277,4368
-6.30432485503415,4371
-4.697426644427478,4382
-3.615644493470694,4426
-2.1549059722756683,4434
0.5037350909248941,4458
-4.799479581966094,4462
-2.860207632584843,4477
-0.05787603831720123,4493
-3.4529810970471404,4510
-2.375792576211933,4519
-1.4774557508916333,4545
2.6578141517067477,4571
3.818603311789719,4587
6.891064202979823,4597
7.769311355376008,4618
4.940024412152926,4626
6.221294727940236,4636
3.362572466232894,4648
1.5320131137631172,4677
-0.26795981897474164,4695
-2.0439916879578237,4729
-1.03183172872502,4751
2.1875779304954683,4758
-1.393346163494794,4767
-4.814054531148269,4783
-9.90950619480149,4796
-8.504865024251057,4838
-11.425437060196568,4845
-14.017897519228551,4851
-13.05987054892783,4864
-16.77666906397624,4874
-12.872891277516867,4884
-15.96781530897908,4899
-18.657573907982506,4907
-16.58560246877274,4928
-15.07232020363407,4949
-16.617148438485593,4959
-18.68102701717539,4966
-21.063022543727847,4989
-19.71331690449488,5016
-18.503273524041994,5022
-17.381578190967954,5040
-20.747386867096576,5077
-19.460548751254006,5079
-21.46867502098364,5102
-20.26372787718975,5115
-19.133105786878957,5139
-27.374691807331107,5161
-26.19239584604411,5185
-29.2546633140518,5191
-32.39840237781132,5215
-36.002181856180826,5220
-34.14750664067424,5239
-33.24942142613166,5263
-38.1239547657659,5300
-37.280768989943354,5302
-36.273901569675836,5310
-33.99467084353178,5337
-36.166751658423294,5352
-38.421137832156234,5375
-37.46266978441745,5384
-34.59510204075382,5403
-33.729218571443944,5424
-37.02239126220697,5449
-35.25146180865436,5459
-39.43699442417897,5463
-42.597755216539475,5487
-40.50412157190786,5495
-39.31669610315389,5522
-38.43060815774069,5527
-43.55684779746663,5543
-42.66164449671061,5554
-36.86327221527067,5571
-28.918616535928507,5589
-26.549391513756603,5599
-22.60575123041812,5608
-29.709684800854518,5618
-25.48625343505798,5638
-29.053438849493947,5662
-27.63543111296342,5672
-31.603314725370783,5677
-30.535188247108128,5682
-34.58078793501901,5688
-33.671317684843565,5700
-30.3406494258793,5721
-33.68230108100499,5727
-36.504620954978954,5734
-34.54720727092206,5748
-32.95431172522267,5773
-38.875875612144796,5789
-38.00543620883912,5792
-36.671574753247505,5796
-40.521820694067515,5824
-38.17428821341276,5839
-37.18097824295615,5845
-39.99469147583107,5870
-39.08363958505962,5890
-38.19196387845431,5894
-36.98003568517144,5899
-35.85849236877012,5906
-33.32105160937011,5920
-36.27442599670203,5929
-35.12015939005294,5932
-31.95128938293019,5941
-35.66257601772546,5946
-34.645274168058386,5974
-36.57241894290281,5991
-34.08398455217792,6015
-30.97612349184886,6030
-30.095709474604696,6061
-32.90145299663805,6070
-35.573894227938915,6088
-34.304281716170586,6119
-36.35291319492614,6123
-35.358690348302325,6147
-34.47790484432921,6162
-33.53661253605568,6168
-30.755189151923638,6186
-33.97804423297826,6202
-36.43829527900334,6205
-35.299308119814,6209
-38.805890849087874,6219
-35.4647584204496,6235
-34.458970758878536,6252
-37.70660640874881,6263
-35.89056569466658,6275
-34.51657736415649,6306
-32.65966060360398,6321
-31.65699209559486,6329
-29.888234855008918,6377
-28.294752988976757,6410
-25.452203635022492,6416
-22.536368609441585,6422
-25.433556558156287,6436
-28.46752632035521,6441
-26.677842148372438,6465
-29.943920489443634,6473
